cover_name,area,elevation,hdistfire
Cottonwood_Willow,Cache_la_Poudre,2053,400
Cottonwood_Willow,Cache_la_Poudre,2060,234
Cottonwood_Willow,Cache_la_Poudre,2140,120
Cottonwood_Willow,Cache_la_Poudre,2126,601
Cottonwood_Willow,Cache_la_Poudre,2306,808
Cottonwood_Willow,Cache_la_Poudre,2115,1073
Cottonwood_Willow,Cache_la_Poudre,2108,1114
Cottonwood_Willow,Cache_la_Poudre,2122,309
Cottonwood_Willow,Cache_la_Poudre,2119,1262
Cottonwood_Willow,Cache_la_Poudre,2169,883
Cottonwood_Willow,Cache_la_Poudre,2149,1184
Cottonwood_Willow,Cache_la_Poudre,2181,658
Cottonwood_Willow,Cache_la_Poudre,2198,395
Cottonwood_Willow,Cache_la_Poudre,2221,404
Cottonwood_Willow,Cache_la_Poudre,2172,808
Cottonwood_Willow,Cache_la_Poudre,2163,914
Cottonwood_Willow,Cache_la_Poudre,2281,421
Cottonwood_Willow,Cache_la_Poudre,2127,541
Cottonwood_Willow,Cache_la_Poudre,2346,1668
Cottonwood_Willow,Cache_la_Poudre,2379,1774
Cottonwood_Willow,Cache_la_Poudre,2283,1614
Cottonwood_Willow,Cache_la_Poudre,2243,1634
Cottonwood_Willow,Cache_la_Poudre,2182,541
Cottonwood_Willow,Cache_la_Poudre,2338,1908
Cottonwood_Willow,Cache_la_Poudre,2299,816
Cottonwood_Willow,Cache_la_Poudre,2247,1050
Cottonwood_Willow,Cache_la_Poudre,2276,1746
Cottonwood_Willow,Cache_la_Poudre,2272,671
Cottonwood_Willow,Cache_la_Poudre,2313,1396
Cottonwood_Willow,Cache_la_Poudre,2312,1549
Cottonwood_Willow,Cache_la_Poudre,2344,1075
Cottonwood_Willow,Cache_la_Poudre,2074,247
Cottonwood_Willow,Cache_la_Poudre,2078,663
Cottonwood_Willow,Cache_la_Poudre,2235,525
Cottonwood_Willow,Cache_la_Poudre,2273,864
Cottonwood_Willow,Cache_la_Poudre,2119,1323
Cottonwood_Willow,Cache_la_Poudre,2266,774
Cottonwood_Willow,Cache_la_Poudre,2273,966
Cottonwood_Willow,Cache_la_Poudre,2209,552
Cottonwood_Willow,Cache_la_Poudre,2255,1691
Cottonwood_Willow,Cache_la_Poudre,2404,1320
Cottonwood_Willow,Cache_la_Poudre,2263,443
Cottonwood_Willow,Cache_la_Poudre,2285,949
Cottonwood_Willow,Cache_la_Poudre,2209,806
Cottonwood_Willow,Cache_la_Poudre,2208,934
Cottonwood_Willow,Cache_la_Poudre,2152,964
Cottonwood_Willow,Cache_la_Poudre,2198,531
Douglas_fir,Cache_la_Poudre,1903,708
Douglas_fir,Cache_la_Poudre,2055,395
Douglas_fir,Cache_la_Poudre,2210,153
Douglas_fir,Cache_la_Poudre,2270,1173
Douglas_fir,Cache_la_Poudre,2322,934
Douglas_fir,Cache_la_Poudre,2251,417
Douglas_fir,Cache_la_Poudre,2323,571
Douglas_fir,Cache_la_Poudre,2245,626
Douglas_fir,Cache_la_Poudre,2244,685
Douglas_fir,Cache_la_Poudre,2434,636
Douglas_fir,Cache_la_Poudre,2355,417
Douglas_fir,Cache_la_Poudre,2310,886
Douglas_fir,Cache_la_Poudre,2465,1365
Douglas_fir,Cache_la_Poudre,2397,1350
Douglas_fir,Cache_la_Poudre,2480,1006
Douglas_fir,Cache_la_Poudre,2199,973
Douglas_fir,Cache_la_Poudre,2263,1057
Douglas_fir,Cache_la_Poudre,2395,990
Douglas_fir,Cache_la_Poudre,2432,1471
Douglas_fir,Cache_la_Poudre,1928,684
Douglas_fir,Cache_la_Poudre,1927,663
Douglas_fir,Cache_la_Poudre,1897,684
Douglas_fir,Cache_la_Poudre,1890,757
Douglas_fir,Cache_la_Poudre,1916,755
Douglas_fir,Cache_la_Poudre,1975,787
Douglas_fir,Cache_la_Poudre,1951,849
Douglas_fir,Cache_la_Poudre,1913,700
Douglas_fir,Cache_la_Poudre,1978,916
Douglas_fir,Cache_la_Poudre,1999,920
Douglas_fir,Cache_la_Poudre,2004,872
Douglas_fir,Cache_la_Poudre,2135,994
Douglas_fir,Cache_la_Poudre,2096,1022
Douglas_fir,Cache_la_Poudre,2106,391
Douglas_fir,Cache_la_Poudre,1969,725
Douglas_fir,Cache_la_Poudre,2120,376
Douglas_fir,Cache_la_Poudre,2170,247
Douglas_fir,Cache_la_Poudre,2081,484
Douglas_fir,Cache_la_Poudre,2182,201
Douglas_fir,Cache_la_Poudre,2229,60
Douglas_fir,Cache_la_Poudre,2172,218
Douglas_fir,Cache_la_Poudre,2119,371
Douglas_fir,Cache_la_Poudre,2171,402
Douglas_fir,Cache_la_Poudre,2203,484
Douglas_fir,Cache_la_Poudre,2227,525
Douglas_fir,Cache_la_Poudre,2223,872
Douglas_fir,Cache_la_Poudre,2338,595
Douglas_fir,Cache_la_Poudre,2333,636
Douglas_fir,Cache_la_Poudre,2313,854
Douglas_fir,Cache_la_Poudre,2300,644
Douglas_fir,Cache_la_Poudre,2066,430
Douglas_fir,Cache_la_Poudre,2359,484
Douglas_fir,Cache_la_Poudre,2346,437
Douglas_fir,Cache_la_Poudre,2090,685
Douglas_fir,Cache_la_Poudre,2088,836
Douglas_fir,Cache_la_Poudre,2134,735
Douglas_fir,Cache_la_Poudre,2287,470
Douglas_fir,Cache_la_Poudre,2099,751
Douglas_fir,Cache_la_Poudre,2363,319
Douglas_fir,Cache_la_Poudre,2126,872
Douglas_fir,Cache_la_Poudre,2270,959
Douglas_fir,Cache_la_Poudre,2205,932
Douglas_fir,Cache_la_Poudre,2240,987
Douglas_fir,Cache_la_Poudre,2253,997
Douglas_fir,Cache_la_Poudre,2203,871
Douglas_fir,Cache_la_Poudre,2209,1012
Douglas_fir,Cache_la_Poudre,2139,732
Douglas_fir,Cache_la_Poudre,2146,666
Douglas_fir,Cache_la_Poudre,2147,511
Douglas_fir,Cache_la_Poudre,2351,524
Douglas_fir,Cache_la_Poudre,2373,488
Douglas_fir,Cache_la_Poudre,2175,663
Douglas_fir,Cache_la_Poudre,2323,1072
Douglas_fir,Cache_la_Poudre,2255,789
Douglas_fir,Cache_la_Poudre,2310,1124
Douglas_fir,Cache_la_Poudre,2309,837
Douglas_fir,Cache_la_Poudre,2268,1150
Douglas_fir,Cache_la_Poudre,2196,283
Douglas_fir,Cache_la_Poudre,2281,808
Douglas_fir,Cache_la_Poudre,2272,742
Douglas_fir,Cache_la_Poudre,2258,324
Douglas_fir,Cache_la_Poudre,2300,1142
Douglas_fir,Cache_la_Poudre,2274,1259
Douglas_fir,Cache_la_Poudre,2311,1291
Douglas_fir,Cache_la_Poudre,2334,1355
Douglas_fir,Cache_la_Poudre,2356,1172
Douglas_fir,Cache_la_Poudre,2371,932
Douglas_fir,Cache_la_Poudre,2342,1388
